2025-06-06T21:37:04.937136,info,,,sleeping for 1.000000 seconds
2025-06-06T21:37:05.967551,open test case,,,Test case 7: KSTET:[KSTET.KSTET-STRING:6]
2025-06-06T21:37:05.967582,info,,,Type: String
2025-06-06T21:37:05.967606,open step,,,"Monitor CallbackMonitor#140647459670400[pre=[],post=[],restart=[],post_start_target=[]].pre_send()"
2025-06-06T21:37:05.967630,open step,,,Fuzzing Node 'KSTET'
2025-06-06T21:37:05.967664,info,,,Sending 33 bytes...
2025-06-06T21:37:05.967985,send,33,4b 53 54 45 54 20 25 30 31 25 30 32 25 30 33 25 30 34 25 30 61 25 30 64 25 30 61 41 44 53 46 0d 0a,b'KSTET %01%02%03%04%0a%0d%0aADSF\r\n'
2025-06-06T21:37:05.968010,open step,,,Contact target monitors
2025-06-06T21:37:05.968027,open step,,,Cleaning up connections from callbacks
2025-06-06T21:37:05.968045,pass,,,No crash detected.
2025-06-06T21:37:05.968061,open step,,,Sleep between tests.
2025-06-06T21:37:05.968078,info,,,sleeping for 1.000000 seconds
2025-06-06T21:37:06.977916,open test case,,,Test case 8: KSTET:[KSTET.KSTET-STRING:7]
2025-06-06T21:37:06.977951,info,,,Type: String
2025-06-06T21:37:06.978096,open step,,,"Monitor CallbackMonitor#140647459670400[pre=[],post=[],restart=[],post_start_target=[]].pre_send()"
2025-06-06T21:37:06.978128,open step,,,Fuzzing Node 'KSTET'
2025-06-06T21:37:06.978170,info,,,Sending 34 bytes...
2025-06-06T21:37:06.978544,send,34,4b 53 54 45 54 20 25 30 31 25 30 32 25 30 33 40 25 30 34 25 30 61 25 30 64 25 30 61 41 44 53 46 0d 0a,b'KSTET %01%02%03@%04%0a%0d%0aADSF\r\n'
2025-06-06T21:37:06.978574,open step,,,Contact target monitors
2025-06-06T21:37:06.978592,open step,,,Cleaning up connections from callbacks
2025-06-06T21:37:06.978619,pass,,,No crash detected.
2025-06-06T21:37:06.978636,open step,,,Sleep between tests.
2025-06-06T21:37:06.978655,info,,,sleeping for 1.000000 seconds
2025-06-06T21:37:07.990025,open test case,,,Test case 9: KSTET:[KSTET.KSTET-STRING:8]
2025-06-06T21:37:07.990056,info,,,Type: String
2025-06-06T21:37:07.990080,open step,,,"Monitor CallbackMonitor#140647459670400[pre=[],post=[],restart=[],post_start_target=[]].pre_send()"
2025-06-06T21:37:07.990105,open step,,,Fuzzing Node 'KSTET'
2025-06-06T21:37:07.990140,info,,,Sending 22 bytes...
2025-06-06T21:37:07.990543,send,22,4b 53 54 45 54 20 25 30 61 20 72 65 62 6f 6f 74 20 25 30 61 0d 0a,b'KSTET %0a reboot %0a\r\n'
2025-06-06T21:37:07.990577,open step,,,Contact target monitors
2025-06-06T21:37:07.990594,open step,,,Cleaning up connections from callbacks
2025-06-06T21:37:07.990613,pass,,,No crash detected.
2025-06-06T21:37:07.990629,open step,,,Sleep between tests.
2025-06-06T21:37:07.990646,info,,,sleeping for 1.000000 seconds
2025-06-06T21:37:09.229948,open test case,,,Test case 10: KSTET:[KSTET.KSTET-STRING:9]
2025-06-06T21:37:09.229978,info,,,Type: String
2025-06-06T21:37:09.230002,open step,,,"Monitor CallbackMonitor#140647459670400[pre=[],post=[],restart=[],post_start_target=[]].pre_send()"
2025-06-06T21:37:09.230026,open step,,,Fuzzing Node 'KSTET'
2025-06-06T21:37:09.230060,info,,,Sending 17 bytes...
2025-06-06T21:37:09.230377,send,17,4b 53 54 45 54 20 25 30 41 72 65 62 6f 6f 74 0d 0a,b'KSTET %0Areboot\r\n'
